fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman,total_time
0,0.1,2.9167233,4.082147,0.78566573447555,0.8077948245108038,
0,1,2.7508297,3.9573352,0.7673684243863238,0.7899290194803039,
0,10,2.987265,4.218379,0.7315825741036054,0.7469654612853847,
1,0.1,2.954566,4.1130996,0.783408081239445,0.8047778507334795,
1,1,2.7601755,3.963635,0.7666601141003161,0.7885883153237869,
1,10,2.9566126,4.1941624,0.7356618958363312,0.7524597349387349,
2,0.1,3.014932,4.1795073,0.7843038593999194,0.8040888002547624,
2,1,2.787405,3.9902997,0.7632094913615666,0.7842152146665318,
2,10,2.9864244,4.208723,0.7336270688176255,0.7456524180345118,
3,0.1,2.9330761,4.0833116,0.7844556263965847,0.8087108440741158,
3,1,2.759798,3.9838672,0.7639600365323234,0.7846515305087467,
3,10,2.9948103,4.227273,0.7302484384630691,0.7458695931591482,
4,0.1,5.47116,6.149688,nan,nan,
4,1,2.7871563,3.994478,0.762258933795486,0.78364553125715,
4,10,2.9941804,4.224176,0.7311931322355304,0.7476825310147109,
,,,,,,616.7744710445404
