fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman
0,0.1,3.211197,3.5534417620988834,0.12183239431711324,0.0900740629628935
0,1,3.2093248,3.553180349920344,0.12324755913031397,0.09056287851799072
0,10,3.2092888,3.5500859585953024,0.1289481667644731,0.09228826430165188
1,0.1,3.2270923,3.565665729099519,0.09736283599869876,0.07405583784898655
1,1,3.2279088,3.5677849902899808,0.09163745546909079,0.07078394239963999
1,10,3.2362776,3.569223584286771,0.12156435555665918,0.07231320195751224
2,0.1,3.242704,3.5919213991634833,0.1024144951965226,0.08270095438096488
2,1,3.2303138,3.576023200802565,0.10209075514909384,0.08243207770048562
2,10,3.2146702,3.5345985942239664,0.38513577011460226,0.27195526222038885
3,0.1,3.268692,3.630616145531142,0.08556494044665627,0.0652985956162226
3,1,3.2131543,3.5566828566531004,0.1041561413322289,0.08332645829036431
3,10,3.2227032,3.552886573756816,0.10388316857594575,0.032672079200495
4,0.1,3.2217727,3.5671831101713436,0.10400310530972143,0.08650347814673842
4,1,3.2013476,3.548189566587368,0.12217572362660162,0.1135387096169351
4,10,3.212411,3.5578924800844263,0.1141498547516423,0.09948230926443288
