fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman
0,0.1,172.27081,223.16573507709467,0.6116608035716955,0.6724629486316962
0,1,262.8801,298.60274875241856,0.6307613220500234,0.7033011516491772
0,10,190.08336,263.59407416992514,0.9625507805985395,0.9638166195845204
1,0.1,150.28923,208.50861792741324,0.6097111549625807,0.6699943752864013
1,1,137.24951,188.01238323578582,0.6228224381315248,0.6861026110380904
1,10,189.76192,263.27026868790176,0.9690817987920882,0.9674592684400453
2,0.1,169.54216,215.95245064018144,0.6290190432496021,0.6919886944768011
2,1,192.9654,258.94683032912377,0.5875316372085503,0.6472915165868651
2,10,190.43953,263.6960104694419,0.9700121642184537,0.9681889309707571
3,0.1,120.55557,171.90906480607705,0.6268458309180847,0.69276236084176
3,1,193.38597,240.05856219108287,0.6143834560603976,0.6827078978250095
3,10,189.78493,263.41858621308404,0.9687698608166492,0.9694491973077717
4,0.1,179.89871,246.84679427480924,0.6011719080252189,0.6588433835409195
4,1,129.06729,181.48063989376388,0.6174926485829485,0.6812326301754029
4,10,189.96436,263.57446765572723,0.9624740940430437,0.9669141228736077
