fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman
0,0.1,7.3127847,8.97619872522258,0.47382263679513087,0.45484884342332865
0,1,4.394664,5.545403255731431,0.4736723828332488,0.4555495493864288
0,10,4.361936,5.543289444123238,0.473034935479942,0.45569913686391655
1,0.1,7.4328055,9.076126692848051,0.47441674487630414,0.4552982304556548
1,1,4.3944736,5.550648440034587,0.4719137477658385,0.4552520993735036
1,10,4.3559318,5.534860068657044,0.4731952655236779,0.45731448069394137
2,0.1,7.705561,9.319841396963296,0.4748499953346402,0.45643487380807624
2,1,4.3882318,5.553403982390078,0.4735203877367817,0.4570681268665496
2,10,4.354987,5.553539645761602,0.47205828337897265,0.45604790332488665
3,0.1,7.625146,9.250336512037684,0.47416185505684544,0.4554311348477764
3,1,4.384738,5.537694420426118,0.4756599115392432,0.45840569457222147
3,10,4.355757,5.530587884099664,0.4734886746225193,0.4563936838767142
4,0.1,7.098711,8.781381192024888,0.4733950283433616,0.45430780901121093
4,1,4.396766,5.532971992337677,0.47335012227144196,0.4559146335808091
4,10,4.3647366,5.524440388366433,0.4736051206599096,0.4567905743246689
