fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman,total_time
0,0.2,26.349825,42.165382,0.9734059386484291,0.9590274993542075,
0,1,26.10797,41.388645,0.97429934622507,0.9612010605573217,
0,4,26.125885,41.274338,0.9744646628629904,0.9615078670555228,
1,0.2,25.879622,40.950954,0.9749384355685621,0.958609823827102,
1,1,26.1171,40.827156,0.9750549191324589,0.9611600452852147,
1,4,25.416777,40.056244,0.9760434296354257,0.9573113472429987,
2,0.2,25.802227,41.28332,0.974571785317232,0.9604702161073904,
2,1,26.042662,40.385914,0.9759258004004716,0.9602238478164631,
2,4,26.32341,41.33016,0.9745430184659768,0.9571887414756116,
3,0.2,25.89362,40.887825,0.9750319022622973,0.9634607260230262,
3,1,26.384897,42.27475,0.973355118220245,0.9601489297672197,
3,4,25.89396,40.7809,0.9752110464767035,0.9609121109679112,
4,0.2,26.23714,42.218597,0.9734396232044779,0.9579443094127598,
4,1,25.800476,41.083504,0.9747710019616612,0.9564354384320826,
4,4,26.018358,41.559093,0.9742171162886357,0.9610199204647989,
,,,,,,799.8461120128632
