fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman,total_time
0,0.1,171.51805,238.9206,0.5948187349424054,0.6568452406614426,
0,1,203.1693,245.72852,0.6309518071667597,0.6992195524958815,
0,10,190.05032,263.59534,0.9413589910181568,0.9527310932060812,
1,0.1,129.48463,180.83908,0.6240207113457452,0.6909720143826691,
1,1,167.88847,229.88818,0.6090686720754933,0.6649881504569591,
1,10,189.97862,263.5437,0.9647088659029892,0.9643315306695185,
2,0.1,199.74483,262.99704,0.570210335208687,0.6468107907418974,
2,1,191.02245,261.32935,0.5943152699912273,0.6458490171917831,
2,10,189.75223,263.2783,0.9340517873777844,0.9491477665747278,
3,0.1,188.02579,254.83505,0.6010569571907227,0.654401793142993,
3,1,122.358376,173.9077,0.6230569542337943,0.6847358112696941,
3,10,189.93547,263.53418,0.9524237666977499,0.9580611031355094,
4,0.1,242.64108,282.23312,0.6133776362835741,0.6888833031087183,
4,1,194.94548,258.38,0.5985517772724381,0.6747399837137128,
4,10,189.82195,263.44266,0.9311606060975327,0.9436940102753435,
,,,,,,457.45130801200867
