fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman,total_time
0,0.25,24.369303,39.649998,0.9762431774578301,0.9784182944696649,
0,1,25.927778,41.231567,0.974659601643463,0.9592723203907196,
0,4,138.04453,189.75166,nan,nan,
1,0.25,23.952433,38.972534,0.9771603002486698,0.9784036028608115,
1,1,25.625414,40.425194,0.975569690849709,0.959267482393615,
1,4,138.02528,189.03532,nan,nan,
2,0.25,24.199072,39.663254,0.9762682017801723,0.978114599156806,
2,1,25.86031,41.02271,0.974940126660834,0.9562079284850512,
2,4,138.03043,188.52185,nan,nan,
3,0.25,24.20584,39.85412,0.9760459072057686,0.978178967762515,
3,1,25.909323,41.324165,0.9744737597840976,0.9584727640307483,
3,4,138.0252,188.9714,nan,nan,
4,0.25,24.206902,39.670574,0.976287527790408,0.977831346043527,
4,1,26.280846,42.062107,0.9735237924091693,0.9560351530226855,
4,4,138.02737,188.72139,nan,nan,
,,,,,,344.9974191188812
