fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman,total_time
0,0.1,26.377823,42.370888,0.973198105306503,0.9564953325768545,
0,0.5,26.273552,42.301937,0.9731656171538213,0.9578711084623379,
0,0.9,26.409775,42.57164,0.9728798787825054,0.956434699398397,
1,0.1,25.75272,40.94023,0.9750584012905633,0.9549542662070173,
1,0.5,25.274263,40.28255,0.975817683609334,0.9575625184169055,
1,0.9,25.910112,41.080585,0.9747385286489519,0.9565554513708909,
2,0.1,26.442694,41.904938,0.9737692429716512,0.9580584886655316,
2,0.5,26.407064,41.67265,0.9741698208000279,0.9586980869830517,
2,0.9,26.279278,41.402252,0.9743677297173632,0.9574248960163646,
3,0.1,24.19576,40.177357,0.9756142371116806,0.9778424770143275,
3,0.5,26.556093,43.194717,0.9721823557107739,0.9569728531163825,
3,0.9,26.689358,42.668774,0.972700432578,0.9575318749825339,
4,0.1,25.927124,41.298477,0.9745242279567391,0.9531455477995373,
4,0.5,26.40543,42.11565,0.9735644663606388,0.9598708521046451,
4,0.9,26.051207,41.811913,0.9739893512829093,0.9597726812683,
,,,,,,351.641144990921
