fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman,total_time
0,0.25,23.733763,40.107075,0.9756979926971826,0.9787271943892841,
0,1,26.36618,43.105923,0.9722630571802484,0.9570709381940565,
0,4,26.271587,42.14473,0.9733885048758527,0.9564230219586647,
1,0.25,25.375004,39.94912,0.9763111119947515,0.9591209753900859,
1,1,26.11772,41.393154,0.9746010780107336,0.9572995716445485,
1,4,26.07222,41.33901,0.9744648649698663,0.9585468824279952,
2,0.25,26.231092,41.702206,0.9740958559768849,0.9570525296865879,
2,1,25.824553,40.917175,0.9750556690223021,0.9593770226218874,
2,4,23.474413,39.281605,0.9766895171704237,0.9790186137483373,
3,0.25,26.584993,42.445942,0.9730605021866174,0.9575184517686388,
3,1,26.280708,41.961758,0.9737355555406417,0.959273794984631,
3,4,26.335197,41.644493,0.9740654652473283,0.9565487854213267,
4,0.25,26.290293,41.875927,0.9737923947504246,0.9566784736981327,
4,1,26.539984,42.699486,0.9727743314997672,0.9599686610575563,
4,4,26.217592,41.71883,0.9739644689388977,0.9567672789513456,
,,,,,,381.7406840324402
