fold,parameter,epoch,epoch_time,test_MAE,test_RMSE,test_Pearson,test_Spearman
0,0.1,0,0.907402753829956,7.5001984,8.86225,0.5708656009584279,0.5696711092142771
0,0.1,1,0.5626039505004883,6.9845095,8.360202,0.5835600347862623,0.5835316398037481
0,0.1,2,0.5608224868774414,6.87915,8.300048,0.5871191357858009,0.5746427001894865
0,0.1,3,0.6961746215820312,7.023749,8.471838,0.602926224148558,0.594179689903233
0,0.1,4,0.5565619468688965,6.5479307,7.937758,0.6151750466231338,0.6104673829115613
0,0.1,5,0.56109619140625,6.8734245,8.216249,0.6220017213933361,0.6151896163244971
0,0.1,6,0.5717124938964844,6.2124424,7.5797462,0.6378852646552631,0.6364198537793768
0,0.1,7,0.5904660224914551,6.2137375,7.638073,0.6437934680758337,0.644140267405976
0,0.1,8,0.6861419677734375,6.5140114,7.750781,0.6505331421099169,0.6462107619810425
0,0.1,9,0.5734598636627197,5.918137,7.244556,0.6580509726984181,0.6546066042305019
0,0.1,10,0.570716381072998,6.2349787,7.4990277,0.6597899857415828,0.6575651725147849
0,0.1,11,0.5526115894317627,5.9875784,7.297389,0.6638378633499891,0.6654586109574969
0,0.1,12,0.5671396255493164,5.1966324,6.4708347,0.6648525172332178,0.6628143264499159
0,0.1,13,0.7506585121154785,5.174453,6.489357,0.673477414992548,0.6736787638466853
0,0.1,14,0.781243085861206,5.191072,6.471142,0.679532972839397,0.6859337551041306
0,0.1,15,0.7544176578521729,4.9940186,6.3361073,0.6770484793706013,0.6876374312702038
0,0.1,16,0.8287830352783203,4.716324,6.07619,0.6770071200160634,0.6820181464415453
0,0.1,17,0.560072660446167,4.43074,5.7731543,0.6884133417247179,0.6925787155550249
0,0.1,18,0.5668115615844727,4.970101,6.2492585,0.6893808121962922,0.7005139776304157
0,0.1,19,0.5895035266876221,4.980322,6.2840605,0.6913106099221341,0.7070039413566997
0,0.1,20,0.5593435764312744,4.520462,5.7997084,0.6943918727812893,0.6991452385137953
0,0.1,21,0.5633981227874756,4.9360948,6.1250935,0.7103653022607078,0.7206272298287699
0,0.1,22,0.5643913745880127,4.4521174,5.62335,0.7020358766404576,0.707907974159733
0,0.1,23,0.5634384155273438,4.5843873,5.8100853,0.711331179384398,0.7238466819291385
0,0.1,24,0.6743674278259277,4.490199,5.7050114,0.7197589214658663,0.7290202438250324
0,0.1,25,0.5606701374053955,4.7256784,5.9457335,0.7189436924800845,0.7287357672267489
0,0.1,26,0.5710146427154541,4.3884435,5.5706315,0.7225449134293329,0.7353782404407926
0,0.1,27,0.5573880672454834,5.268608,6.4301414,0.7097860032143896,0.71855191898884
0,0.1,28,0.5760905742645264,4.3010254,5.531889,0.7228166992438699,0.7329813454465253
0,0.1,29,0.6811423301696777,4.5411534,5.7813735,0.7258903884734378,0.7401004651173297
0,0.1,30,0.6186172962188721,4.374254,5.540225,0.7203021119951241,0.7285022950172197
