fold,parameter,epoch,epoch_time,test_MAE,test_RMSE,test_Pearson,test_Spearman
0,0.1,0,0.8455502986907959,7.9180236,9.825887,0.4500499421670071,0.46110100655381014
0,0.1,1,0.5614213943481445,8.431466,9.863615,0.5329045849703086,0.5263742846223818
0,0.1,2,0.5736141204833984,8.290409,9.660192,0.5593281819586514,0.5554954432082735
0,0.1,3,0.6987526416778564,7.901817,9.304373,0.56762544282915,0.5628307471944659
0,0.1,4,0.5660197734832764,7.637482,9.050983,0.5732952609854876,0.5702238619681491
0,0.1,5,0.6081340312957764,7.3422766,8.770737,0.57558054500894,0.571733881036697
0,0.1,6,0.5776491165161133,7.1330886,8.621505,0.5641553752884281,0.5585384680245411
0,0.1,7,0.5646398067474365,6.9929852,8.440521,0.5840468035254921,0.5805767966289711
0,0.1,8,0.713554859161377,7.067485,8.493349,0.5869178697545023,0.5853923439582259
0,0.1,9,0.574376106262207,6.9098444,8.328468,0.589412116002149,0.5853804541905954
0,0.1,10,0.7772672176361084,7.2918744,8.6771,0.5913604789223654,0.5902009087566294
0,0.1,11,0.8409955501556396,7.045185,8.457378,0.5961921236002122,0.5928587727160834
0,0.1,12,0.8594002723693848,7.099174,8.473774,0.5968595754134444,0.5934869703355895
0,0.1,13,0.8071014881134033,6.757982,8.202417,0.5858317328731346,0.5815383463952768
0,0.1,14,0.5682334899902344,6.8300104,8.249158,0.6032288639819493,0.5983124332955657
0,0.1,15,0.5703153610229492,6.902231,8.2691145,0.6046764086571909,0.6023209910774098
0,0.1,16,0.5766968727111816,6.8457155,8.274941,0.6062310267814964,0.6020246688299143
0,0.1,17,0.5614421367645264,6.8437834,8.244796,0.60929214276673,0.6027224400125534
0,0.1,18,0.5655231475830078,6.918958,8.2944765,0.6091689394265472,0.6048236883546027
0,0.1,19,0.5690615177154541,7.1412616,8.492792,0.6074528654870273,0.6070236877377158
0,0.1,20,0.5673353672027588,6.870416,8.2327,0.6202618860820123,0.6178424286634349
0,0.1,21,0.5725839138031006,7.108027,8.458023,0.6222868437181879,0.6200291901069908
0,0.1,22,0.5696816444396973,6.5489044,7.943493,0.6094397193513892,0.6079213755064403
0,0.1,23,0.5582275390625,6.115508,7.522719,0.612908936708804,0.6122325083923168
0,0.1,24,0.6952691078186035,6.81912,8.190533,0.6304415907802463,0.6261852898315935
0,0.1,25,0.5742127895355225,6.8631005,8.173104,0.6276872350396405,0.6232818005040567
0,0.1,26,0.5729424953460693,6.2352667,7.6055984,0.62609710356073,0.6246028157012425
0,0.1,27,0.7306947708129883,6.7613273,8.074884,0.6251887740944543,0.62671635909566
0,0.1,28,0.7785203456878662,6.470496,7.791703,0.6419522468609811,0.639109125153951
0,0.1,29,0.9570136070251465,6.2632675,7.57259,0.6344107315776478,0.6297770942507426
0,0.1,30,0.6123197078704834,6.10535,7.473615,0.6449598500529639,0.6449314490674017
0,0.1,31,0.5749211311340332,5.9896183,7.343123,0.6396375366591172,0.643120532279336
0,0.1,32,0.559981107711792,5.888307,7.221821,0.6443251464035287,0.6437583385958241
0,0.1,33,0.5598678588867188,6.1779103,7.495038,0.6485573817652527,0.6439033529453566
0,0.1,34,0.5785355567932129,6.509246,7.790819,0.6512125094388059,0.6494992716993035
0,0.1,35,0.56610107421875,6.2174764,7.5071516,0.6479260139406102,0.6468609639410645
0,0.1,36,0.5582945346832275,6.348484,7.662541,0.6443243529438837,0.6493669969482686
0,0.1,37,0.581402063369751,5.946933,7.316884,0.6429622458932153,0.6384987689151888
0,0.1,38,0.5737214088439941,6.2516217,7.5787616,0.6565199139307222,0.6523939015886743
0,0.1,39,0.5499475002288818,5.4372973,6.77763,0.6267481357081813,0.6280612297092291
0,0.1,40,0.6838493347167969,5.654005,6.96175,0.6433091881979082,0.64428133532047
0,0.1,41,0.5749859809875488,5.7090526,7.0158415,0.660556252271604,0.6595152218163655
0,0.1,42,0.5606951713562012,5.9673467,7.259947,0.6566094338855483,0.6584565345234351
0,0.1,43,0.559276819229126,5.7482524,7.0181203,0.655804669537145,0.6529658641764479
0,0.1,44,0.7873942852020264,5.9536867,7.303063,0.64939722881321,0.6466845691151201
0,0.1,45,0.9548883438110352,5.8260612,7.1389165,0.6577426807101056,0.6559012116834858
0,0.1,46,0.7890563011169434,5.724797,7.0547285,0.6637395588649403,0.6657962135105615
0,0.1,47,0.5886039733886719,5.8708954,7.159651,0.6594561093926194,0.6592704859535038
0,0.1,48,0.5554347038269043,5.604017,6.8905067,0.6679426204668765,0.6684909255197609
0,0.1,49,0.5698301792144775,5.4257226,6.7219825,0.6701565271070299,0.6717229550150551
0,0.1,50,0.5663304328918457,5.4858336,6.797528,0.6733541571650087,0.6745251969813731
0,0.1,51,0.5856776237487793,5.4399676,6.753324,0.6737156245731118,0.6755399126682305
0,0.1,52,0.5682787895202637,5.325096,6.6361303,0.6734147370400783,0.6744845696681081
0,0.1,53,0.5654358863830566,5.40675,6.687064,0.6739690788412103,0.6766107285735776
0,0.1,54,0.5705831050872803,5.4114723,6.7305465,0.6745246185679699,0.6770344160120025
0,0.1,55,0.5640547275543213,5.272699,6.5698333,0.6743864885558924,0.6755898631006035
0,0.1,56,0.5718646049499512,5.255296,6.5459166,0.6751002127270205,0.6769873870109495
0,0.1,57,0.5754387378692627,5.3819137,6.6702566,0.6748082076839613,0.6773954255742126
0,0.1,58,0.560171365737915,5.34329,6.6280966,0.6757053850512941,0.6777447302051598
0,0.1,59,0.5814628601074219,5.363251,6.669197,0.6754203364063215,0.6786828629150334
0,0.1,60,0.568105936050415,5.2927074,6.588742,0.6761408290513607,0.6782624915531765
0,0.1,61,0.9072728157043457,5.267125,6.5543723,0.676304652696613,0.6787357253857762
0,0.1,62,0.7617208957672119,5.2764473,6.574731,0.6757749966864003,0.678722694432319
0,0.1,63,0.7857389450073242,5.2752695,6.5757,0.6763260381271047,0.6787224161338322
0,0.1,64,0.559232234954834,5.235008,6.518485,0.6765336739615765,0.6789397318422317
0,0.1,65,0.5738985538482666,5.318827,6.621165,0.6764813616034105,0.6797042583436543
