fold,parameter,epoch,epoch_time,test_MAE,test_RMSE,test_Pearson,test_Spearman
0,0.25,0,0.5802896022796631,4.4783025,5.6634927,0.4370797043611124,0.4552238191370013
0,0.25,1,0.4001157283782959,4.1913896,5.412114,0.5091183834925076,0.5137028314978354
0,0.25,2,0.4194622039794922,4.0302114,5.2518167,0.5483389600218889,0.5509282964387866
0,0.25,3,0.5146520137786865,3.9740353,5.268016,0.5553254972458392,0.5598557569928871
0,0.25,4,0.41730165481567383,3.9417906,5.2457223,0.5571097981199052,0.5621958901107401
0,0.25,5,0.4494020938873291,3.921011,5.229563,0.5574425879516006,0.5618489529781464
0,0.25,6,0.6034114360809326,3.8947692,5.2410717,0.5578389747309564,0.5638517444956396
0,0.25,7,0.5994336605072021,3.8986511,5.179248,0.561138107537435,0.565603225328245
0,0.25,8,0.7430024147033691,3.8790467,5.2251363,0.5650437049902994,0.5742975323498463
0,0.25,9,0.6177012920379639,3.8540127,5.208293,0.5649856625239611,0.57226195065965
0,0.25,10,0.4157841205596924,3.8424666,5.2230883,0.5674747054780055,0.5750875956871427
0,0.25,11,0.4040346145629883,3.833129,5.1725473,0.5673852667545245,0.573503502794617
0,0.25,12,0.41152334213256836,3.8233488,5.2143598,0.5719056935377421,0.579226996945725
0,0.25,13,0.5371057987213135,3.825276,5.234325,0.5631423623105168,0.5704474277861781
0,0.25,14,0.39463162422180176,3.7978444,5.1737533,0.5756847014273945,0.5826059728463633
0,0.25,15,0.4183776378631592,3.795216,5.2372923,0.5759870155782786,0.5840817002943973
0,0.25,16,0.39308881759643555,3.8076773,5.216822,0.577257760796454,0.5849134166841297
0,0.25,17,0.41579604148864746,3.7606654,5.164302,0.5803950940344437,0.5877204658194852
0,0.25,18,0.39748692512512207,3.783315,5.21541,0.5808046114488505,0.5875773077676065
0,0.25,19,0.42374348640441895,3.7455788,5.150586,0.5798660480664315,0.5862249928672929
0,0.25,20,0.41812920570373535,3.7601147,5.2332044,0.5827192447269814,0.5914773851864479
0,0.25,21,0.40449094772338867,3.7400508,5.1939344,0.5840440022015141,0.5909094478581253
0,0.25,22,0.4152960777282715,3.7155428,5.157468,0.5871405912501559,0.5949729585634058
0,0.25,23,0.39820146560668945,3.7006958,5.0510716,0.5914626031357006,0.5958739802097166
0,0.25,24,0.5368590354919434,3.6906388,5.1351852,0.5894403314690869,0.5957387736558988
0,0.25,25,0.4067192077636719,3.671026,5.1141706,0.5896128877955142,0.596642909544222
0,0.25,26,0.42243528366088867,3.669802,5.060555,0.5920948760916218,0.5972056205755791
0,0.25,27,0.5050947666168213,3.6544535,5.104199,0.5953228975923895,0.601993404470084
0,0.25,28,0.559962272644043,3.6518083,5.0936375,0.5967088333116132,0.605513795690171
0,0.25,29,0.7045681476593018,3.6637878,5.0812807,0.5996968624004364,0.6063314656949337
0,0.25,30,0.5614595413208008,3.6834695,5.129468,0.5843332348823148,0.5918580566198408
0,0.25,31,0.5193805694580078,3.6526132,5.039299,0.6003312811018485,0.6074623816748074
0,0.25,32,0.4161546230316162,3.634376,5.1055164,0.5993413483019902,0.6070799648864176
0,0.25,33,0.4080634117126465,3.6279051,5.079293,0.5991013654037142,0.6063279711884184
0,0.25,34,0.4412262439727783,3.6405196,5.143641,0.5980055721356574,0.605428660457246
0,0.25,35,0.4279966354370117,3.6568556,5.117541,0.585090239045759,0.5943805948202182
0,0.25,36,0.4053466320037842,3.6018426,5.0695086,0.600369128023735,0.6083817326076685
0,0.25,37,0.41663146018981934,3.5982773,5.040048,0.5996513946267714,0.608196428551319
0,0.25,38,0.4000203609466553,3.5969212,5.0662565,0.6009806110102482,0.6110603579193897
0,0.25,39,0.4061002731323242,3.633569,5.030589,0.6056378735746839,0.6151328596090491
0,0.25,40,0.5212395191192627,3.6436377,5.090599,0.593247218059759,0.604463363384949
0,0.25,41,0.4105842113494873,3.6037579,5.025965,0.6074018633135319,0.6151236130647759
0,0.25,42,0.4188411235809326,3.5915518,5.10624,0.5996861823376669,0.6117904329984977
0,0.25,43,0.5723061561584473,3.5860536,5.0846925,0.6083883486261075,0.6187283112573259
0,0.25,44,0.5904686450958252,3.567218,5.047831,0.6022761697243166,0.6142835162346219
0,0.25,45,0.7353558540344238,3.5537066,5.0210557,0.6107068467691156,0.6215846923698487
0,0.25,46,0.6120610237121582,3.5831912,5.052968,0.5986612209496104,0.6104323948975063
0,0.25,47,0.5914196968078613,3.5633068,5.0734825,0.608771727853268,0.6213226578493212
0,0.25,48,0.5632562637329102,3.5816956,5.130394,0.5992095241876475,0.6129738803770588
0,0.25,49,0.5253763198852539,3.5455248,5.078602,0.6100591793816679,0.6245371618486247
0,0.25,50,0.5701284408569336,3.5183423,5.003749,0.6151247118018682,0.6282528431975253
0,0.25,51,0.4197089672088623,3.5165784,4.9960537,0.6150394084692181,0.6281872831070738
0,0.25,52,0.43538689613342285,3.5146601,4.9839783,0.6147986908383255,0.6269827057039906
0,0.25,53,0.4152641296386719,3.5115774,4.996411,0.6162829022470617,0.6287445102718636
0,0.25,54,0.4102170467376709,3.5102234,4.9920974,0.6153156047205782,0.6281562070629467
0,0.25,55,0.39964914321899414,3.5111537,4.9785247,0.6155959378036056,0.627788070767007
0,0.25,56,0.4278426170349121,3.5083973,4.9920077,0.6162382985799794,0.6286107542881635
0,0.25,57,0.40076327323913574,3.5082324,5.0022883,0.615808741188835,0.6285529207151291
0,0.25,58,0.40912365913391113,3.5089552,4.9968557,0.6173992162612231,0.6303459184586319
0,0.25,59,0.40190815925598145,3.5054553,4.989287,0.61604907456852,0.6291515392280036
0,0.25,60,0.4186360836029053,3.504122,5.001715,0.6171857437795008,0.6306394543600805
0,0.25,61,0.5386466979980469,3.5046585,4.9976206,0.6182478358406022,0.6316387656488764
0,0.25,62,0.39803504943847656,3.5061553,4.992274,0.6184352337785567,0.6319814738959869
0,0.25,63,0.40939927101135254,3.5029533,4.976782,0.6187208834099699,0.6316468094638494
0,0.25,64,0.4237062931060791,3.4987226,4.9987483,0.6179709265882676,0.6310445787466845
0,0.25,65,0.40535497665405273,3.5048218,4.9858565,0.6186204037385917,0.6322752121800145
0,0.25,66,0.5193915367126465,3.4980357,4.974719,0.6191121394177912,0.631891530925301
0,0.25,67,0.4119405746459961,3.4951735,4.988112,0.6173332379638762,0.6308560333532607
0,0.25,68,0.4040100574493408,3.4952714,4.9805584,0.6179827706241513,0.630741784774452
0,0.25,69,0.5891213417053223,3.4928849,4.9863462,0.6195198008958279,0.6329093156118268
0,0.25,70,0.620962381362915,3.4913664,4.9796824,0.6193126969766306,0.632498725665788
0,0.25,71,0.5280642509460449,3.4958925,4.9907746,0.6201184063650899,0.6342514280067394
0,0.25,72,0.5629796981811523,3.4898958,4.968204,0.6196925075671486,0.6326357162790521
0,0.25,73,0.40753173828125,3.4899693,4.970132,0.6201069633960791,0.6331017735700382
0,0.25,74,0.40451788902282715,3.4954662,4.959468,0.6179628355922901,0.630300274236413
0,0.25,75,0.4169771671295166,3.4869678,4.963644,0.620083588698536,0.6331400203833996
0,0.25,76,0.4000821113586426,3.4862041,4.9704967,0.6202479453459314,0.6336069637055238
0,0.25,77,0.5369002819061279,3.486122,4.9726567,0.620386426427691,0.6337873124079654
0,0.25,78,0.3942112922668457,3.4864376,4.965414,0.6201493711026602,0.6332033890974994
0,0.25,79,0.4011952877044678,3.4861953,4.965515,0.6204036223019863,0.6335441727316141
0,0.25,80,0.42073845863342285,3.4860103,4.97062,0.620605328758327,0.633973315076979
0,0.25,81,0.39724278450012207,3.4857016,4.9690313,0.6203631185975658,0.633574781649039
0,0.25,82,0.5388524532318115,3.4857202,4.9685593,0.6205292135200193,0.6338210276762712
0,0.25,83,0.4167053699493408,3.4857988,4.9668674,0.6207480859952628,0.6340204809946259
0,0.25,84,0.4270153045654297,3.4853203,4.9655857,0.6205344165496136,0.6336583170652859
0,0.25,85,0.3997313976287842,3.4851637,4.9695983,0.6206513242150652,0.6339770555613988
0,0.25,86,0.4185676574707031,3.4855716,4.9638968,0.6203623642111668,0.6333399484049798
0,0.25,87,0.43335866928100586,3.4853537,4.973399,0.6207687021579618,0.6343008916712131
0,0.25,88,0.40896058082580566,3.4848287,4.9658427,0.6207021840223349,0.6338882202636587
0,0.25,89,0.40852880477905273,3.484797,4.965887,0.6208293401410682,0.6340628415343671
0,0.25,90,0.4986691474914551,3.484986,4.9665504,0.6209350436925327,0.6342727629185059
0,0.25,91,0.5751075744628906,3.4849396,4.9649415,0.6208652055984967,0.6341134188406152
0,0.25,92,0.5949335098266602,3.4849172,4.9626813,0.6204325885887005,0.6334090812490157
0,0.25,93,0.7387635707855225,3.4845772,4.9653254,0.6208980826976849,0.6341268322481347
0,0.25,94,0.45725321769714355,3.484308,4.9647093,0.6206518974500423,0.6337689302602425
0,0.25,95,0.40503406524658203,3.4839544,4.9646907,0.6207179238994903,0.6338850239949817
0,0.25,96,0.40184903144836426,3.4841564,4.96406,0.6208829140609846,0.6341155381538527
0,0.25,97,0.4093146324157715,3.4839368,4.9659104,0.6209674480363493,0.634285247284864
0,0.25,98,0.5339069366455078,3.4839332,4.963557,0.6207235655145631,0.6338309380220936
0,0.25,99,0.444411039352417,3.48346,4.9688945,0.6209764468577416,0.6343650998423715
0,1,0,0.40932416915893555,4.0219755,5.2431087,0.5427661703330824,0.5416533494256128
0,1,1,0.42363524436950684,3.971305,5.3133216,0.5434039847140023,0.5440243765645666
0,1,2,0.46531057357788086,3.867641,5.188861,0.5625912603201121,0.5654906498391968
0,1,3,0.5286247730255127,3.8789215,5.2577357,0.5435942710075744,0.5489959352364003
0,1,4,0.4119119644165039,3.743016,5.1756244,0.5809126553775624,0.5874516691484166
0,1,5,0.4089677333831787,3.7216167,5.219412,0.5802470998063551,0.5912929322640725
0,1,6,0.4207584857940674,3.6901972,5.227511,0.5835970862687951,0.5926868715030845
0,1,7,0.40407752990722656,3.7260005,5.170085,0.5779079653810434,0.5819989742442802
0,1,8,0.422330379486084,3.6888583,5.1705413,0.5882143847420908,0.5980390405601966
0,1,9,0.4125044345855713,3.6512487,5.005608,0.5978482175012001,0.6024016251527641
0,1,10,0.4083986282348633,3.591096,5.0389028,0.6016132626671266,0.6092974695620206
0,1,11,0.4553251266479492,3.604981,5.105558,0.6024035911591267,0.611346426103373
