fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman,total_time
0,0.2,3.061271,4.6138897,0.684647263378362,0.7190702862462944,
0,1,3.0594165,4.5873895,0.6880162012918266,0.7154997724655074,
0,4,2.9810264,4.4400897,0.7073587105460841,0.7361044954248082,
1,0.2,3.0746636,4.6033316,0.6854479341678997,0.7157796499297131,
1,1,3.0853274,4.5923643,0.685023395731052,0.7140136613319306,
1,4,2.927961,4.4194603,0.7120789407525534,0.7421104777600743,
2,0.2,3.0504277,4.5974603,0.6869759214694169,0.7164523134430518,
2,1,3.1052568,4.6208677,0.6822844607748294,0.7085998020279015,
2,4,2.9941976,4.469658,0.7039466621266179,0.7328664278127369,
3,0.2,3.0406523,4.5576835,0.6916114407681896,0.7186131358002912,
3,1,3.06374,4.5705953,0.6902114376850416,0.7161892997866535,
3,4,3.0506673,4.4851847,0.7000190922128718,0.7273710883458213,
4,0.2,3.056176,4.61045,0.6858300889985832,0.7155407919395625,
4,1,3.0289876,4.527019,0.6964167590069305,0.7249638705378536,
4,4,2.9840608,4.5012445,0.7012406225493217,0.7318563908358594,
,,,,,,2035.6091339588165
