fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman,total_time
0,0.1,2.9844341,4.131835,0.7856081758797159,0.8069393467496461,
0,1,2.7744596,4.0197086,0.7600359495382021,0.78435931809262,
0,10,3.0072587,4.237431,0.7291346122958551,0.7419163945792953,
1,0.1,3.0063553,4.155145,0.7845619120651562,0.8069791184731125,
1,1,2.7474937,3.9959855,0.7630735451285123,0.7842421256925222,
1,10,2.9491868,4.1719985,0.7381774772307399,0.7556340649611948,
2,0.1,2.7996404,3.9661126,0.7871772936854953,0.8108462327807475,
2,1,2.7798796,4.0093875,0.7608193151124746,0.7833122513982291,
2,10,3.0285645,4.2844443,0.7225019098815252,0.7378363321668239,
3,0.1,2.8772852,4.026362,0.7820402851278305,0.8044779844309539,
3,1,2.7839944,3.9972737,0.7623505076437361,0.784327500521883,
3,10,2.9813066,4.201147,0.733997579264791,0.7497796040397804,
4,0.1,2.9736454,4.1402125,0.7777364085359474,0.7990696555750848,
4,1,2.7844963,3.9967604,0.7620273797988563,0.7837690152982748,
4,10,3.0667531,4.314041,0.7178846813609894,0.7324843349700906,
,,,,,,1162.6055099964142
