fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman,total_time
0,0.1,5.099026,6.389568,0.6793272326667673,0.6822248512059487,
0,1,3.3356314,4.497099,0.6871316459207268,0.6937361868301729,
0,10,3.3379393,4.526044,0.6831451867477273,0.686550472867773,
1,0.1,5.2992926,6.559969,0.6826850700522908,0.6859410734992097,
1,1,3.3572302,4.5042953,0.6847775901878486,0.6904284882579912,
1,10,3.3330946,4.5308385,0.6816821110719069,0.6895404846690787,
2,0.1,5.1757727,6.457322,0.6822462149703225,0.6855455024893286,
2,1,3.3545275,4.5322185,0.6822349345475159,0.6914276442851366,
2,10,3.3159072,4.5173445,0.6841522951387138,0.6890958988426567,
3,0.1,5.3268666,6.6037817,0.6814564540277438,0.6854281166932088,
3,1,3.3236291,4.487378,0.6880830301580987,0.6963554973647491,
3,10,3.3390372,4.5249944,0.6830287485439055,0.6910440021978324,
4,0.1,5.0787764,6.3797636,0.6789947625594076,0.6831992961608857,
4,1,3.380691,4.535964,0.6793193252797859,0.6850436904270714,
4,10,3.328867,4.5157495,0.6848455971880737,0.6918651427018748,
,,,,,,1169.4754872322083
