fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman,total_time
0,0.25,3.48346,4.9688945,0.6209764468577416,0.6343650998423715,
0,1,3.0236573,4.53166,0.6947886898073239,0.7224488757300346,
0,4,2.6266415,3.920915,0.7745267091696942,0.8040383364601589,
1,0.25,3.4681618,4.910787,0.6284180978896582,0.6402212318515349,
1,1,2.987764,4.5074463,0.6990628207194323,0.7319747926909286,
1,4,2.5767891,3.8610437,0.7820163714224481,0.8074824624334723,
2,0.25,3.4575021,4.955701,0.624398889314831,0.6391084020854819,
2,1,2.970285,4.458732,0.7052572691015727,0.7342465231164427,
2,4,2.6373715,3.9274566,0.7734269353847384,0.7972957592976919,
3,0.25,3.4297132,4.8898273,0.6333079691003614,0.6483399177721257,
3,1,2.9858003,4.4866576,0.7016387836120731,0.7305800326892566,
3,4,2.6486282,3.9442632,0.7715420156996221,0.7972220462851318,
4,0.25,3.4615514,4.950258,0.6248382314382248,0.6375584820364811,
4,1,2.9579086,4.4662614,0.7046941665380386,0.7343514826007581,
4,4,2.620083,3.921381,0.7743669915032202,0.7995787443455304,
,,,,,,928.9109251499176
