fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman,total_time
0,0.1,2.9629223,4.5015244,0.7021318491900078,0.7354518114199009,
0,0.5,2.9885874,4.5250793,0.6982400791584767,0.7253137545708978,
0,0.9,2.9651608,4.4717083,0.7051163553536945,0.7324964134217268,
1,0.1,2.9629054,4.4706426,0.7045579134332538,0.7357303754696527,
1,0.5,2.9857733,4.527739,0.6973118132798006,0.7304842438785011,
1,0.9,2.948227,4.48176,0.7042447787787663,0.7373011622653861,
2,0.1,2.9468012,4.4898024,0.7040967552631302,0.7354002778637738,
2,0.5,2.9620318,4.495482,0.7026888921155674,0.7342902029715226,
2,0.9,2.9628727,4.50358,0.7014765583311854,0.7305492279071866,
3,0.1,2.9376001,4.4336686,0.7094702333257185,0.7407868217726671,
3,0.5,3.001352,4.5323644,0.6966783806766177,0.7257436929768857,
3,0.9,3.0261714,4.5450215,0.6935347485108149,0.7233234954423545,
4,0.1,3.0018983,4.5099096,0.6995815025235459,0.7258313508197305,
4,0.5,2.9529064,4.4915705,0.7036196229366246,0.734132985184384,
4,0.9,2.9606493,4.500363,0.7021499948525923,0.7339318873974596,
,,,,,,958.4092602729797
