fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman,total_time
0,0.25,3.0839322,4.3569818,0.7097955935329651,0.7257183812880184,
0,1,2.9661798,4.506013,0.7006035939634582,0.7329103554152656,
0,4,2.9691193,4.486084,0.7036161197155213,0.7311200750981945,
1,0.25,3.065924,4.337206,0.7126479385835134,0.7256860276930642,
1,1,2.946482,4.466477,0.7051990348412768,0.739183646191432,
1,4,2.9429967,4.4885316,0.7039681968598507,0.7375832569719258,
2,0.25,3.065558,4.3268595,0.7139307349062565,0.7293912103898915,
2,1,2.9713686,4.499532,0.7003405703777869,0.7314316221787275,
2,4,2.9558325,4.5139894,0.7003162413764604,0.7298882354516586,
3,0.25,3.034064,4.288589,0.7195532909038881,0.7362959125036934,
3,1,2.9414747,4.4522038,0.7071124250544555,0.7375281544726665,
3,4,3.0129437,4.547403,0.6939660797767432,0.7250293491891011,
4,0.25,3.098855,4.354728,0.7094445866268404,0.721034793929516,
4,1,2.9768572,4.515648,0.6988296678381362,0.7282146499482213,
4,4,2.9690554,4.5150023,0.7003521221447835,0.7314627497327265,
,,,,,,988.1272158622742
