fold,parameter,epoch,epoch_time,test_MAE,test_RMSE,test_Pearson,test_Spearman
0,0.1,0,0.6596536636352539,0.6632334,0.74771404,0.08154864691569876,0.09357095981849888
0,0.1,1,0.017661094665527344,0.6320765,0.70863557,0.18185901738148982,0.16235088969306058
0,0.1,2,0.017409801483154297,0.6456702,0.7235412,0.109319041600982,0.09861061631635197
0,0.1,3,0.01742720603942871,0.639518,0.71482056,0.1206064838685787,0.1122965143532147
0,0.1,4,0.017373085021972656,0.6395173,0.71444327,0.05921955214886891,0.05043519021993887
0,0.1,5,0.017287015914916992,0.63819253,0.71231157,0.1228221641432124,0.08963343520897005
0,0.1,6,0.01769256591796875,0.6416699,0.7208369,0.11881210213576208,0.10977368608553802
0,0.1,7,0.017246723175048828,0.64131653,0.7132379,0.09874628898749663,0.08205482534265839
0,0.1,8,0.01883387565612793,0.63756716,0.709644,0.11153566841525961,0.07284570528565802
0,0.1,9,0.01733112335205078,0.6297326,0.70759785,0.14511577492346348,0.10754335964599777
0,0.1,10,0.017530202865600586,0.6477896,0.7225783,0.08575753643697885,0.07056812855080344
0,0.1,11,0.022177696228027344,0.6376129,0.71250576,0.11594940815400173,0.09084788029925187
0,0.1,12,0.01853632926940918,0.6310935,0.70694476,0.14045801188100768,0.11518196988731179
0,0.1,13,0.017236948013305664,0.6371496,0.71153796,0.11254439865081471,0.08460652879080494
0,0.1,14,0.023585796356201172,0.6397875,0.7164261,0.1120466300218508,0.0791035568972306
0,0.1,15,0.017690658569335938,0.63529485,0.7111317,0.12168986840266897,0.09790411190069936
0,0.1,16,0.017316102981567383,0.63756037,0.7109692,0.10687910854716193,0.07647891549322183
0,0.1,17,0.017246484756469727,0.6399969,0.71484524,0.10436653727672399,0.09503721898261865
0,0.1,18,0.0171356201171875,0.63577414,0.711364,0.12026569936236997,0.09486828042675265
0,0.1,19,0.01949453353881836,0.6367792,0.71232873,0.11609828183004446,0.09055294095588097
0,0.1,20,0.017340898513793945,0.63694644,0.7128942,0.11673230478372532,0.09468865430408939
0,0.1,21,0.017459630966186523,0.63879853,0.71336764,0.1058477765790373,0.07916205726285788
0,0.1,22,0.01739501953125,0.6344468,0.7090799,0.1232432408733763,0.07579134869592934
0,0.1,23,0.01757955551147461,0.63535076,0.7119715,0.12498139171177246,0.09995031218945118
0,0.1,24,0.017306804656982422,0.64374083,0.7222131,0.10906119297636445,0.06954887218045112
0,0.1,25,0.017217397689819336,0.6319694,0.70876336,0.13695905190489327,0.1210235688973056
0,0.1,26,0.017772197723388672,0.6316788,0.7070058,0.13765166904072498,0.10363808523803274
0,0.1,27,0.01783585548400879,0.6413778,0.7157856,0.10350277047814468,0.09257157857236607
0,0.1,28,0.017833709716796875,0.6381359,0.7149783,0.12139955284824334,0.08416965106031912
0,0.1,29,0.017556428909301758,0.6363725,0.7107612,0.11977851404273866,0.08664635403971276
0,0.1,30,0.017705440521240234,0.6342466,0.7101458,0.13011343105776418,0.10609697560609753
0,0.1,31,0.021271944046020508,0.6348427,0.7102667,0.12683488746125712,0.09376933605835035
0,0.1,32,0.017530202865600586,0.6386149,0.71212244,0.10575683604746237,0.07549284683029268
0,0.1,33,0.017462491989135742,0.63653547,0.7120473,0.12096006287783137,0.10126150788442428
0,0.1,34,0.017653465270996094,0.626399,0.70739436,0.1573411379375345,0.13201713760711004
0,0.1,35,0.018632173538208008,0.64601105,0.719727,0.0795892173977898,0.023144582153638456
0,0.1,36,0.017912626266479492,0.6345635,0.7100964,0.12848669206862412,0.10309826936418352
0,0.1,37,0.01778268814086914,0.63686943,0.7101629,0.11604872693406887,0.0819050119063244
0,0.1,38,0.017551422119140625,0.63377714,0.71296793,0.13683778528336354,0.11200101250632816
0,0.1,39,0.01829671859741211,0.63514054,0.70974857,0.12625125121934927,0.0970871692948081
0,0.1,40,0.017566919326782227,0.63799393,0.7110616,0.10327983752631448,0.08384752404702528
0,0.1,41,0.01741194725036621,0.63151264,0.7079352,0.14203016794042697,0.13008081300508126
0,0.1,42,0.020241260528564453,0.6453279,0.72056675,0.09691187409591576,0.06398027487671798
0,0.1,43,0.01741313934326172,0.6289865,0.7070059,0.15206784336131215,0.1316863855399096
0,0.1,44,0.017956256866455078,0.6432358,0.7147625,0.07507685107776854,0.04024900155625972
0,0.1,45,0.01753544807434082,0.6336112,0.70809954,0.13335895193905065,0.08490015562597265
0,0.1,46,0.017473459243774414,0.6362401,0.71660274,0.13444900463464152,0.10238951493446832
0,0.1,47,0.017656326293945312,0.6381487,0.71388847,0.11970676428260578,0.10104756904730654
0,0.1,48,0.017425060272216797,0.6355847,0.70974785,0.12312710840812209,0.08691148069675436
0,0.1,49,0.017833471298217773,0.6335056,0.70817685,0.13549811429146214,0.09071981699885623
0,0.1,50,0.017381906509399414,0.63431287,0.70879954,0.13188545265012752,0.0909939437121482
0,0.1,51,0.01740407943725586,0.63452625,0.70909077,0.13117053988326524,0.09421933887086793
0,0.1,52,0.01735830307006836,0.63459677,0.70967424,0.1318321005134183,0.10642285264282901
0,0.1,53,0.03356051445007324,0.6349804,0.7098723,0.129983398189993,0.10413121332008324
0,0.1,54,0.017516613006591797,0.63430214,0.7098365,0.13342864815354252,0.11098775617347609
0,0.1,55,0.017561674118041992,0.6336697,0.7094304,0.1361042890036021,0.1151277820486378
0,0.1,56,0.018175125122070312,0.6348128,0.70987993,0.13102413526267234,0.10696660604128776
0,0.1,57,0.017404794692993164,0.6347981,0.70992965,0.13120521204133712,0.10865074156713479
0,0.1,58,0.017642736434936523,0.6348635,0.7098465,0.13062557994683588,0.104934655841599
0,0.1,59,0.019119977951049805,0.6343395,0.7094608,0.13254367432573508,0.10339714623216394
0,0.1,60,0.017850637435913086,0.6356889,0.7104014,0.12655389482739215,0.08888286801792511
0,0.1,61,0.017635107040405273,0.63494116,0.710072,0.1304307098695268,0.10496315601972511
0,0.1,62,0.017636537551879883,0.6340007,0.70934945,0.13420768773595546,0.10571072319201995
0,0.1,63,0.017541170120239258,0.6335915,0.7093688,0.13630156627224538,0.11351395946224663
0,0.1,64,0.017812013626098633,0.6337788,0.70942545,0.1353593418377284,0.11098681866761667
0,0.1,65,0.017297744750976562,0.63395,0.70948714,0.13463839012951143,0.10973562334764592
0,0.1,66,0.01736140251159668,0.6337675,0.7092395,0.1352261956659548,0.106061162882268
0,0.1,67,0.017414093017578125,0.63499385,0.7102108,0.1302273620625989,0.10453115331970825
0,0.1,68,0.019612550735473633,0.63509357,0.71019423,0.12974764368826586,0.1017248232801455
0,0.1,69,0.14284682273864746,0.6348334,0.7099718,0.1308723170880739,0.10413027581422384
0,0.1,70,0.017785072326660156,0.6347216,0.709893,0.13133651591090262,0.1051225320158251
0,0.1,71,0.017859220504760742,0.6352078,0.710247,0.12920319078584694,0.09755404721279508
0,0.1,72,0.01738119125366211,0.6346108,0.70997137,0.13181321983728186,0.10642416515103219
0,0.1,73,0.017538785934448242,0.6336094,0.70891005,0.13552410920668134,0.09957887236795228
0,0.1,74,0.017196178436279297,0.6338288,0.7090647,0.13455218776013633,0.09892280576753604
0,0.1,75,0.018610000610351562,0.6338468,0.7090782,0.13448292099351658,0.09886824292651827
