fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman,total_time
0,0.2,0.635834,0.70830834,0.13760318632437699,0.11389739935874599,
0,1,0.63204503,0.70406044,0.17374436553217346,0.13888924305776912,
0,4,nan,nan,nan,nan,
1,0.2,0.64470047,0.7152542,0.08585485836418086,0.061515009468809174,
1,1,0.63293433,0.70527387,0.18701679043242597,0.1552858455365346,
1,4,0.6509555,0.7159868,nan,nan,
2,0.2,0.6415285,0.713676,0.10665943869349016,0.07960287251795323,
2,1,0.6404468,0.7094653,0.13564643422218134,0.11537134607091294,
2,4,0.62626547,0.7035624,0.1954627968408429,-0.009079395884867173,
3,0.2,0.6398138,0.71230394,0.10095820619082402,0.0753865336658354,
3,1,0.5862798,0.67606485,0.327313729249695,0.24126300789379931,
3,4,13.362637,13.381651,nan,nan,
4,0.2,0.6397302,0.7116203,0.10534855962166166,0.044680404252526576,
4,1,0.5766222,0.6621105,0.38947457966484084,0.2904899405621285,
4,4,0.6467716,0.712257,0.0946006314711404,0.1762101997166707,
,,,,,,97.79118180274963
