fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman,total_time
0,0.1,0.5910228,0.66697085,0.40670423003259826,0.3224335777098607,
0,1,0.6019995,0.67289877,0.4072525082269262,0.32461815386346166,
0,10,0.6405334,0.7049597,0.3641175887812175,0.27351452196576226,
1,0.1,0.58715934,0.6646235,0.40881425612408495,0.33900024375152343,
1,1,0.6323825,0.69719,0.3755636762198341,0.30747979674872966,
1,10,0.63738054,0.70258385,0.3867655747550805,0.30495846849042807,
2,0.1,0.5648246,0.6509299,0.4356379444017327,0.3327047044044025,
2,1,0.62055707,0.6885034,0.40772247077242585,0.30736429602685017,
2,10,0.6047654,0.6773425,0.41009118759312857,0.3059012243826524,
3,0.1,0.56198305,0.6495246,0.4307651949382338,0.31058181613635083,
3,1,0.62118363,0.68739593,0.39195093924580493,0.3008904430652691,
3,10,0.6340991,0.6992521,0.3762621172670313,0.2778928618303864,
4,0.1,0.5867688,0.6631525,0.412118261396048,0.31167251045319033,
4,1,0.5826368,0.6646206,0.39076049004611124,0.30866536665854155,
4,10,0.6348192,0.700587,0.37595686596024447,0.2715271970449815,
,,,,,,59.132901430130005
