fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman,total_time
0,0.1,0.5458542,0.64445937,0.4439920364125134,0.3412185701160632,
0,1,0.51972544,0.6261598,0.48956498709027624,0.3694153713460709,
0,10,0.5908832,0.6658149,0.41692624638114095,0.32002025012656327,
1,0.1,0.55500764,0.64951694,0.4276758952450285,0.3202415015093844,
1,1,0.55521274,0.6503146,0.43184798312020506,0.32003412521328256,
1,10,0.5473221,0.64606553,0.43792354503417913,0.32616147600922507,
2,0.1,0.5358531,0.63800204,0.46147026841512956,0.33524347027168916,
2,1,0.5396943,0.64610577,0.45508685610375726,0.342092138075863,
2,10,0.51377004,0.62877136,0.4902224716560791,0.3915249470309189,
3,0.1,0.5213861,0.6273713,0.4862006825889054,0.3829833311458196,
3,1,0.563197,0.6501545,0.4228717900584223,0.325124219526372,
3,10,0.55255944,0.6454798,0.4400446519373508,0.33226913918211987,
4,0.1,0.5356883,0.6388459,0.45819806017370124,0.36109706935668345,
4,1,0.53238374,0.63852596,0.45589181196922585,0.3455080344252151,
4,10,0.56330013,0.6545799,0.4125655512115364,0.3337110231938949,
,,,,,,58.87619876861572
