fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman,total_time
0,0.25,0.6356939,0.71091056,0.1248560903686792,0.09816755104719405,
0,1,0.63750803,0.7063525,0.1484164453821166,0.09098794367464796,
0,4,0.63934404,0.70770437,0.13434373281225367,0.09255301595634974,
1,0.25,0.6400533,0.71252096,0.10900360921449974,0.08679072994206213,
1,1,0.6421337,0.71014035,0.10515096264488084,0.0445560909755686,
1,4,0.6419664,0.7093558,0.11820171878982141,0.05962856017850111,
2,0.25,0.63870656,0.71282715,0.11714698156577456,0.09104194401215006,
2,1,0.64135516,0.70991576,0.11580274581717455,0.07137213357583484,
2,4,0.64039457,0.70849955,0.13390564842397462,0.058169613560084744,
3,0.25,0.6387084,0.71396744,0.0989079951297572,0.0655445971537322,
3,1,0.6400797,0.71030486,0.09849637221738161,0.025539909624435152,
3,4,0.64157885,0.71100867,0.08767797602073236,0.025668347927174543,
4,0.25,0.6394429,0.71451646,0.09820530183547778,0.03398927493296833,
4,1,0.6365883,0.7062462,0.14879260791124105,0.12379614872592952,
4,4,0.6395673,0.70857745,0.12305921896618188,0.08582303639397744,
,,,,,,45.47779083251953
