fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman,total_time
0,0.1,0.6340947,0.70956194,0.13388713465135932,0.10628316426977667,
0,0.5,0.63440156,0.7096023,0.13317080534602493,0.10253970337314607,
0,0.9,0.6357688,0.71065784,0.12421395140797667,0.08129432058950367,
1,0.1,0.6413049,0.71399677,0.10295020503299418,0.06728479552997206,
1,0.5,0.64424205,0.7166649,0.0777550519421718,0.05205370033562709,
1,0.9,0.64305985,0.715615,0.0879558908427899,0.06236101475634222,
2,0.1,0.6382892,0.7125982,0.11851221704801772,0.06341514634466465,
2,0.5,0.6410895,0.71443516,0.10527922248014661,0.07264320402002512,
2,0.9,0.6369348,0.71106654,0.13434784265999097,0.07654191588697429,
3,0.1,0.638925,0.71486,0.09569500947763979,0.047386608666304154,
3,0.5,0.63854295,0.7143332,0.09694846029398362,0.05964356027225169,
3,0.9,0.64039266,0.7159487,0.08489066994231378,0.0321268257926612,
4,0.1,0.6406473,0.7156858,0.09008975182819469,0.058057300358127235,
4,0.5,0.6360581,0.71190816,0.11963788918220551,0.06856392852455327,
4,0.9,0.6406697,0.71580106,0.09186371470624842,0.04859524122025763,
,,,,,,51.913663387298584
