fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman,total_time
0,0.25,0.63929677,0.7079539,0.13024330698420444,0.09431533947087167,
0,1,0.63750255,0.7067548,0.1432184553623684,0.0856666604166276,
0,4,0.63476586,0.71138823,0.12745764311278893,0.10399396246226537,
1,0.25,0.6421146,0.7096063,0.11645120955963642,0.07816398852492826,
1,1,0.64217466,0.71040195,0.10211057253479998,0.04185982412390077,
1,4,0.6403048,0.7146358,0.10268289455659431,0.06247220295126844,
2,0.25,0.6416383,0.7098316,0.11795810216831808,0.08323964524778278,
2,1,0.6412901,0.7101499,0.11290360213132287,0.0726563291020569,
2,4,0.63431823,0.7114301,0.1441990409752681,0.07835711473196708,
3,0.25,0.6409531,0.71002084,0.09861447432949182,0.05460446627791423,
3,1,0.6399437,0.7105759,0.09705365782818796,0.033652710329439554,
3,4,0.6402052,0.71822935,0.08692149906396038,0.03506196913730711,
4,0.25,0.6408249,0.709843,0.10711990148544938,0.03945624660154126,
4,1,0.6368888,0.7068647,0.1412867436290539,0.10949562184763653,
4,4,0.6369261,0.71463186,0.11010160344117431,0.09043350270939193,
,,,,,,51.81457853317261
