fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman,total_time
0,0.1,2.9632447,4.5052867,0.7013753034873451,0.7349052451321977,
0,0.5,2.978199,4.5037646,0.7008847128499244,0.731742890878774,
0,0.9,2.942882,4.468058,0.7066428012572455,0.7374896268340244,
1,0.1,2.9805126,4.5103564,0.700701554321273,0.731095341949125,
1,0.5,2.9300878,4.462127,0.7074544109205246,0.7426776095753586,
1,0.9,2.9561775,4.4980063,0.7033729860017097,0.7329669289990018,
2,0.1,2.9596672,4.5121207,0.7013994105829721,0.7326887105323366,
2,0.5,2.9624815,4.5049844,0.7012682400451948,0.7324796205751375,
2,0.9,3.005445,4.546872,0.6951261506997992,0.7243745123137806,
3,0.1,3.0387444,4.5857663,0.6895725904670792,0.7185783584264234,
3,0.5,2.9267776,4.461511,0.707768403936186,0.7388631387131182,
3,0.9,2.9529996,4.4712844,0.7053361413563795,0.7359243575676808,
4,0.1,2.9471674,4.491268,0.7039524901025976,0.7336598567904765,
4,0.5,2.9556303,4.494795,0.7021158774702089,0.732036452762644,
4,0.9,3.0013483,4.535798,0.6969597594911897,0.7259861239109326,
,,,,,,619.1751499176025
